iteracion,COMPRAR_100,COMPRAR_75,COMPRAR_50,COMPRAR_25,COMPRAR_10,MANTENER,VENDER_10,VENDER_25,VENDER_50,VENDER_75,VENDER_100
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010711,0.0,0.0
2,0.0,0.0,0.0,0.0,0.298993,0.0,0.0,0.0,0.010711,0.0,0.0
3,0.0,0.0,0.0,0.0,0.298993,0.0,0.0,1.137635,0.010711,0.0,0.0
4,0.0,0.0,0.140881,0.0,0.298993,0.0,0.0,1.137635,0.010711,0.0,0.0
5,0.0,0.0,0.140881,0.0,0.298993,0.0,0.0,1.137635,0.010711,0.0,0.428823
6,0.0,0.015462,0.140881,0.0,0.298993,0.0,0.0,1.137635,0.010711,0.0,0.428823
7,0.0,0.015462,0.140881,0.0,0.298993,0.0,0.0,1.137635,0.010711,0.320486,0.428823
8,0.0,0.015462,0.140881,0.0,0.298993,0.04899,0.0,1.137635,0.010711,0.320486,0.428823
9,0.0,0.015462,0.140881,0.0,0.298993,0.04899,0.0,1.137635,0.010711,0.320486,0.428823
10,0.0,0.015462,0.140881,0.141562,0.298993,0.04899,0.0,1.137635,0.010711,0.320486,0.428823
11,0.0,0.015462,0.140881,0.141562,0.298993,0.04899,1.450865,1.137635,0.010711,0.320486,0.428823
12,0.0,0.015462,0.140881,0.141562,0.298993,0.04899,0.801793,1.137635,0.010711,0.320486,0.428823
13,0.0,0.015462,0.140881,0.141562,0.298993,0.04899,0.801793,0.747597,0.010711,0.320486,0.428823
14,0.0,0.015462,0.140881,0.141562,0.298993,0.04899,0.801793,0.747597,0.010711,0.320486,0.1685
15,0.0,0.015462,0.140881,0.141562,0.298993,0.04899,0.801793,0.747597,0.010711,0.575581,0.1685
16,0.0,0.015462,0.140881,0.141562,0.149497,0.04899,0.801793,0.747597,0.010711,0.575581,0.1685
17,0.0,0.015462,0.140881,0.070781,0.149497,0.04899,0.801793,0.747597,0.010711,0.575581,0.1685
18,0.0,0.015462,-0.025793,0.070781,0.149497,0.04899,0.801793,0.747597,0.010711,0.575581,0.1685
19,0.0,0.015462,-0.025793,0.070781,0.149497,0.04899,0.739298,0.747597,0.010711,0.575581,0.1685
20,0.0,0.015462,-0.025793,0.070781,0.149497,0.704528,0.739298,0.747597,0.010711,0.575581,0.1685
21,0.0,0.015462,-0.025793,0.070781,0.149497,0.704528,0.739298,0.65118,0.010711,0.575581,0.1685
22,0.0,0.165155,-0.025793,0.070781,0.149497,0.704528,0.739298,0.65118,0.010711,0.575581,0.1685
23,0.0,0.165155,-0.025793,0.070781,0.149497,0.704528,0.739298,0.65118,0.316276,0.575581,0.1685
24,0.0,0.165155,-0.025793,0.070781,0.149497,0.704528,0.739298,0.65118,0.316276,0.575581,0.1685
25,0.0,0.165155,-0.025793,0.070781,0.149497,0.327974,0.739298,0.65118,0.316276,0.575581,0.1685
26,0.0,0.165155,-0.025793,0.070781,0.149497,0.327974,0.739298,0.65118,0.316276,0.614894,0.1685
27,0.0,0.165155,-0.025793,0.070781,0.149497,0.327974,0.824579,0.65118,0.316276,0.614894,0.1685
