dia,precio,accion,exposicion_pct
0,194.05,VENDER_50,0.0
1,183.28,VENDER_10,0.0
2,179.99,VENDER_25,0.0
3,180.01,VENDER_75,0.0
4,181.19,VENDER_25,0.0
5,184.76,VENDER_25,0.0
6,177.81,VENDER_25,0.0
7,174.72,VENDER_10,0.0
8,171.97,VENDER_25,0.0
9,168.47,COMPRAR_10,0.0
10,171.89,VENDER_75,10.18
11,177.55,MANTENER,2.63
12,173.99,VENDER_50,2.58
13,174.84,MANTENER,1.29
14,177.46,COMPRAR_10,1.31
15,174.95,VENDER_100,11.04
16,186.6,VENDER_75,0.0
17,180.11,MANTENER,0.0
18,173.74,VENDER_50,0.0
19,179.24,VENDER_100,0.0
20,176.75,VENDER_50,0.0
21,176.19,VENDER_100,0.0
22,178.79,MANTENER,0.0
23,178.08,VENDER_10,0.0
24,176.29,VENDER_10,0.0
25,174.77,VENDER_75,0.0
26,175.0,VENDER_10,0.0
27,177.94,COMPRAR_10,0.0
28,177.48,VENDER_10,9.98
29,173.79,VENDER_75,8.81
30,170.66,VENDER_100,2.16
31,177.29,VENDER_10,0.0
32,182.47,VENDER_50,0.0
33,178.01,VENDER_75,0.0
34,187.44,VENDER_10,0.0
35,184.86,VENDER_50,0.0
36,181.57,VENDER_100,0.0
37,183.01,VENDER_10,0.0
38,182.58,VENDER_75,0.0
39,187.35,COMPRAR_75,0.0
40,196.37,COMPRAR_50,75.87
41,197.42,COMPRAR_100,87.99
42,197.88,MANTENER,100.0
43,209.86,MANTENER,100.0
44,231.26,COMPRAR_10,100.0
45,246.39,COMPRAR_50,100.0
46,251.52,COMPRAR_75,100.0
47,252.94,COMPRAR_10,100.0
48,262.33,MANTENER,100.0
49,263.26,COMPRAR_100,100.0
50,241.03,COMPRAR_100,100.0
51,248.23,MANTENER,100.0
52,252.64,COMPRAR_25,100.0
53,256.56,COMPRAR_100,100.0
54,248.5,COMPRAR_50,100.0
55,249.23,COMPRAR_100,100.0
56,239.2,COMPRAR_75,100.0
57,251.51,COMPRAR_25,100.0
