dia,precio,cartera_mcts_base100,cartera_bah_base100,alfa_pct,drawdown_mcts_pct,drawdown_alfa_pct,accion
0,194.05,100.0,100.0,0.0,0.0,0.0,
1,183.28,100.0,94.4499,5.8763,0.0,0.0,VENDER_50
2,179.99,100.0,92.7544,7.8115,0.0,0.0,VENDER_10
3,180.01,100.0,92.7647,7.7996,0.0,-0.0111,VENDER_25
4,181.19,100.0,93.3728,7.0975,0.0,-0.6623,VENDER_75
5,184.76,100.0,95.2126,5.0281,0.0,-2.5817,VENDER_25
6,177.81,100.0,91.631,9.1333,0.0,0.0,VENDER_25
7,174.72,100.0,90.0386,11.0634,0.0,0.0,VENDER_25
8,171.97,100.0,88.6215,12.8394,0.0,0.0,VENDER_10
9,168.47,100.0,86.8178,15.1837,0.0,0.0,VENDER_25
10,171.89,100.203,88.5803,13.1211,0.0,-1.7907,COMPRAR_10
11,177.55,100.287,91.497,9.6068,0.0,-4.8417,VENDER_75
12,173.99,100.2342,89.6625,11.7906,-0.0527,-2.9459,MANTENER
13,174.84,100.2405,90.1005,11.2541,-0.0464,-3.4116,VENDER_50
14,177.46,100.2599,91.4507,9.6328,-0.027,-4.8192,MANTENER
15,174.95,100.1013,90.1572,11.0298,-0.1851,-3.6063,COMPRAR_10
16,186.6,100.1013,96.1608,4.0979,-0.1851,-9.6245,VENDER_100
17,180.11,100.1013,92.8163,7.8489,-0.1851,-6.3679,VENDER_75
18,173.74,100.1013,89.5336,11.8031,-0.1851,-2.935,MANTENER
19,179.24,100.1013,92.3679,8.3724,-0.1851,-5.9135,VENDER_50
20,176.75,100.1013,91.0848,9.8991,-0.1851,-4.588,VENDER_100
21,176.19,100.1013,90.7962,10.2484,-0.1851,-4.2847,VENDER_50
22,178.79,100.1013,92.136,8.6452,-0.1851,-5.6766,VENDER_100
23,178.08,100.1013,91.7702,9.0783,-0.1851,-5.3006,MANTENER
24,176.29,100.1013,90.8477,10.1859,-0.1851,-4.339,VENDER_10
25,174.77,100.1013,90.0644,11.1442,-0.1851,-3.507,VENDER_10
26,175.0,100.1013,90.1829,10.9981,-0.1851,-3.6339,VENDER_75
27,177.94,100.1013,91.698,9.1641,-0.1851,-5.2261,VENDER_10
