iteracion,COMPRAR_100,COMPRAR_75,COMPRAR_50,COMPRAR_25,COMPRAR_10,MANTENER,VENDER_10,VENDER_25,VENDER_50,VENDER_75,VENDER_100
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792953
2,0.0,0.0,0.0,0.0,0.0,0.546563,0.0,0.0,0.0,0.0,0.792953
3,0.0,0.002819,0.0,0.0,0.0,0.546563,0.0,0.0,0.0,0.0,0.792953
4,0.0,0.002819,0.0,0.0,0.0,0.546563,0.0,0.0,1.284178,0.0,0.792953
5,0.0,0.002819,0.0,0.0,0.0,0.546563,0.445499,0.0,1.284178,0.0,0.792953
6,0.0,0.002819,0.06423,0.0,0.0,0.546563,0.445499,0.0,1.284178,0.0,0.792953
7,0.0,0.002819,0.06423,1.02254,0.0,0.546563,0.445499,0.0,1.284178,0.0,0.792953
8,0.0,0.002819,0.06423,1.02254,0.0,0.546563,0.445499,0.0,1.284178,0.313358,0.792953
9,0.0,0.002819,0.06423,1.02254,0.396212,0.546563,0.445499,0.0,1.284178,0.313358,0.792953
10,0.0,0.002819,0.06423,1.02254,0.396212,0.546563,0.445499,0.287059,1.284178,0.313358,0.792953
11,0.0,0.002819,0.06423,1.02254,0.396212,0.546563,0.445499,0.287059,1.284178,0.313358,0.792953
12,0.0,0.002819,0.06423,1.02254,0.396212,0.546563,0.445499,0.287059,1.105963,0.313358,0.792953
13,0.0,0.002819,0.06423,0.534491,0.396212,0.546563,0.445499,0.287059,1.105963,0.313358,0.792953
14,0.0,0.002819,0.06423,0.534491,0.396212,0.546563,0.445499,0.287059,1.105963,0.313358,0.763029
15,0.0,0.002819,0.06423,0.534491,0.396212,0.227379,0.445499,0.287059,1.105963,0.313358,0.763029
16,0.0,0.002819,0.06423,0.534491,0.396212,0.227379,0.552427,0.287059,1.105963,0.313358,0.763029
17,0.0,0.002819,0.06423,0.534491,0.396212,0.227379,0.552427,0.287059,0.763587,0.313358,0.763029
18,0.0,0.002819,0.06423,0.534491,0.594381,0.227379,0.552427,0.287059,0.763587,0.313358,0.763029
19,0.0,0.002819,0.06423,0.534491,0.594381,0.227379,0.552427,0.287059,0.763587,0.597541,0.763029
20,0.0,0.002819,0.06423,0.534491,0.594381,0.227379,0.552427,0.288875,0.763587,0.597541,0.763029
21,0.0,0.002819,0.155478,0.534491,0.594381,0.227379,0.552427,0.288875,0.763587,0.597541,0.763029
22,0.0,0.002819,0.155478,0.534491,0.594381,0.227379,0.552427,0.288875,0.763587,0.597541,0.817745
23,0.0,0.059249,0.155478,0.534491,0.594381,0.227379,0.552427,0.288875,0.763587,0.597541,0.817745
24,0.012364,0.059249,0.155478,0.534491,0.594381,0.227379,0.552427,0.288875,0.763587,0.597541,0.817745
25,0.012364,0.059249,0.155478,0.534491,0.594381,0.227379,0.552427,0.288875,0.763587,0.493789,0.817745
26,0.012364,0.059249,0.155478,0.534491,0.484361,0.227379,0.552427,0.288875,0.763587,0.493789,0.817745
27,0.012364,0.059249,0.155478,0.534491,0.484361,0.227379,0.435689,0.288875,0.763587,0.493789,0.817745
28,0.012364,0.059249,0.155478,0.52977,0.484361,0.227379,0.435689,0.288875,0.763587,0.493789,0.817745
29,0.012364,0.059249,0.155478,0.52977,0.484361,0.227379,0.435689,0.288875,0.763587,0.493789,0.832322
30,0.012364,0.059249,0.155478,0.52977,0.484361,0.227379,0.435689,0.288875,0.650793,0.493789,0.832322
31,0.012364,0.059249,0.155478,0.52977,0.484361,0.227379,0.435689,0.288875,0.650793,0.493789,0.722087
32,0.012364,0.059249,0.155478,0.52977,0.484361,0.227379,0.435689,0.375355,0.650793,0.493789,0.722087
33,0.012364,0.059249,0.155478,0.52977,0.484361,0.3569,0.435689,0.375355,0.650793,0.493789,0.722087
34,0.012364,0.059249,0.155478,0.734387,0.484361,0.3569,0.435689,0.375355,0.650793,0.493789,0.722087
