dia,precio,accion,exposicion_pct
0,157.11,VENDER_25,0.0
1,155.45,VENDER_50,0.0
2,149.93,VENDER_25,0.0
3,147.05,COMPRAR_75,0.0
4,142.05,COMPRAR_100,74.35
5,144.68,COMPRAR_10,100.0
6,162.13,COMPRAR_25,100.0
7,170.18,MANTENER,100.0
8,168.29,COMPRAR_50,100.0
9,194.05,COMPRAR_25,100.0
10,183.28,MANTENER,100.0
11,179.99,COMPRAR_10,100.0
12,180.01,COMPRAR_10,100.0
13,181.19,COMPRAR_25,100.0
14,184.76,COMPRAR_10,100.0
15,177.81,COMPRAR_25,100.0
16,174.72,COMPRAR_75,100.0
17,171.97,COMPRAR_75,100.0
18,168.47,COMPRAR_25,100.0
19,171.89,COMPRAR_50,100.0
20,177.55,MANTENER,100.0
21,173.99,COMPRAR_10,100.0
22,174.84,VENDER_10,100.0
23,177.46,MANTENER,90.13
24,174.95,COMPRAR_75,90.01
25,186.6,MANTENER,97.65
26,180.11,COMPRAR_75,97.57
27,173.74,COMPRAR_100,99.37
28,179.24,VENDER_10,100.0
29,176.75,COMPRAR_50,89.87
30,176.19,COMPRAR_25,94.92
31,178.79,COMPRAR_50,96.24
32,178.08,COMPRAR_75,98.11
33,176.29,COMPRAR_75,99.52
34,174.77,COMPRAR_10,99.88
35,175.0,COMPRAR_10,99.89
36,177.94,COMPRAR_100,99.9
37,177.48,COMPRAR_75,100.0
38,173.79,COMPRAR_50,100.0
39,170.66,MANTENER,100.0
40,177.29,COMPRAR_25,100.0
41,182.47,COMPRAR_25,100.0
42,178.01,MANTENER,100.0
43,187.44,COMPRAR_10,100.0
44,184.86,COMPRAR_50,100.0
45,181.57,COMPRAR_25,100.0
46,183.01,VENDER_10,100.0
47,182.58,COMPRAR_100,89.98
48,187.35,COMPRAR_10,100.0
49,196.37,COMPRAR_100,100.0
50,197.42,VENDER_10,100.0
51,197.88,MANTENER,90.02
52,209.86,COMPRAR_75,90.54
53,231.26,COMPRAR_25,97.85
54,246.39,COMPRAR_100,98.48
55,251.52,COMPRAR_100,100.0
56,252.94,COMPRAR_50,100.0
57,262.33,COMPRAR_50,100.0
58,263.26,COMPRAR_50,100.0
