dia,precio,cartera_mcts_base100,cartera_bah_base100,alfa_pct,drawdown_mcts_pct,drawdown_alfa_pct,accion
0,157.11,100.0,100.0,0.0,0.0,0.0,
1,155.45,100.0,98.9434,1.0679,0.0,0.0,VENDER_25
2,149.93,100.0,95.4299,4.7889,0.0,0.0,VENDER_50
3,147.05,100.0,93.5968,6.8412,0.0,0.0,VENDER_25
4,142.05,97.4498,90.4144,7.7814,-2.5502,0.0,COMPRAR_75
5,144.68,99.2541,92.0883,7.7814,-0.7459,0.0,COMPRAR_100
6,162.13,111.2252,103.1952,7.7814,0.0,0.0,COMPRAR_10
7,170.18,116.7477,108.319,7.7814,0.0,0.0,COMPRAR_25
8,168.29,115.4511,107.116,7.7814,-1.1106,0.0,MANTENER
9,194.05,133.1231,123.5122,7.7814,0.0,0.0,COMPRAR_50
10,183.28,125.7347,116.6571,7.7814,-5.5501,0.0,COMPRAR_25
11,179.99,123.4776,114.563,7.7814,-7.2456,0.0,MANTENER
12,180.01,123.4913,114.5758,7.7814,-7.2353,0.0,COMPRAR_10
13,181.19,124.3009,115.3268,7.7814,-6.6272,-0.0,COMPRAR_10
14,184.76,126.75,117.5991,7.7814,-4.7874,-0.0,COMPRAR_25
15,177.81,121.9821,113.1755,7.7814,-8.369,0.0,COMPRAR_10
16,174.72,119.8623,111.2087,7.7814,-9.9614,0.0,COMPRAR_25
17,171.97,117.9757,109.4583,7.7814,-11.3785,0.0,COMPRAR_75
18,168.47,115.5746,107.2306,7.7814,-13.1822,0.0,COMPRAR_75
19,171.89,117.9208,109.4074,7.7814,-11.4197,0.0,COMPRAR_25
20,177.55,121.8037,113.01,7.7814,-8.503,0.0,COMPRAR_50
21,173.99,119.3615,110.7441,7.7814,-10.3375,0.0,MANTENER
22,174.84,119.9446,111.2851,7.7814,-9.8995,0.0,COMPRAR_10
23,177.46,121.5623,112.9527,7.6223,-8.6844,-0.1476,VENDER_10
